poetry_ground_truth,text,poetry_generated_Seq2Seq_with_Att
با تو ایمان نیست بر اعمی حرج / رو رو کالصبر مفتاح کنی,ای مردم در عالم ، اگر تو از ذکر جمال حضرت حق تعالی نترس. بدان که بر شخص نیست و در این باره شک ندارد. ولی اگر قادر نیستی و چشم بسته داری. همچنان در راه سلوک تلاش کن و بر مشقتهای این راه نیز صابر باش که صبر کلید باب سلوک است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
پردههای دیده را داروی صبر / هم بسوزد هم سوختن از صدر,این تحمل و تحمل مانند ان است که هم چنین بخش تاریک و ظلمانی غم دل را بر طرف کند,تا که که در تو را <end> 
پردههای دیده را داروی خویش / هم بسوزد هم به شرح صدر,این صبر و تحمل مانند این است که هم چنین نقاط تیره و تیره در دل را بر طرف کند,تا که که در تو را <end> 
طبع دل چون شود صافی و زبر / نقشها بینی برون از آب و خاک,هر گاه ایینه دل از زنگار بپاشد و زنگار صاف و کدر شود. رازها و اسرار عالم هستی در ان نقش شده و تو انها را روشن خواهی کرد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هم ببینی نقش و هم نقاش را / فرش نقش را و هم نقاشی را,در این کشور هم چرم و هم فرش را میتوان داشت و هم فرش دولت,تا که که در تو را <end> 
هم ببینی نقش و هم دیوار را / فرش نگین را و هم دیوار را,در این جنگ هم قدرت و هم نقشی را خواهی کرد و هم در دولت,تا که که در تو را <end> 
چون خلیل آمد خیال ذات من / صورتش بت معنی او بت من,از انرو که خیال یار من و معشوق من در ذهن و ذهنم نقش بسته و ان خیال در حکم بت است. ولی معنای ان در ذات بت شکن است. زیرا به واسطه بهرهای که از ان رویا در دل دارم. از هوی و هوس و کارهای ان دور میشوم.,تا که که در تو را <end> 
چون خلیل آمد خیال جان من / روی بت معنی او بت شکن,از انرو که خیال یار من و معشوق من در ذهن و روحم نقش میبندد و ان خیال در حکم بت است. ولی معنای ان در واقع بت شکن است. زیرا به واسطه تصویری که از ان یار در دل دارم. از هوی و هوس و امیال پلید دور میشوم.,تا که که در تو را <end> 
شکر یزدان را که چون او شد پدید / در شریعت چو خیال او یافت,سپاس و شکر خداوند راست که وقتی ان عالم کوچک پدیدار شد. او در عالم فکر و اندیشه صورت خیالی خود را پیدا کرد.,تا که که در تو را <end> 
شکر یزدان را که چون او شد پدید / در عشق جان جادوی او یافت,سپاس و شکر خدای راست که وقتی ان فرد حقیقی زاده شد. او در عالم خیال و خیال وجود خیالی خود را اشکار کرد.,تا که که در تو را <end> 
خاک درگاهت او را میفریفت / خاک بر وی کو ز خاکستر سوزد,ای بنده حقیقی خاک که عشق و محبت تو دلم را شیفته و مجذوب خود کرده است. چه بر دل ان کسی که در برابر محبت درگاه صبر و تحمل گرفته و بدان شیفته نشده است.,تا که که در تو را <end> 
خاک درگاهت ما را ربود / خاک بر وی کو ز خاکت برخاست,ای یار حقیقی ، درگاه محبت و محبت تو ما را شیفته و مجذوب خود کرده است. چه بر دل ان کسی که در برابر خاک ولایت ایستاده و ارام گرفته و بدان مشرف شده است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
گفتم با خوبم رفت این از او / چشم خود خندید بر من زشت ر,با خود میگویم که اگر من لایق و سزاوار وصال کوی محبوب و یاور حقیقی ام باشم. همه مشکلات و رنجهای رسیدن به وصال او را به جان میخرم و اگر شایسته و لایق نباشم و از کدورت خودبینی نرسته باشم. ان یار به روی قبر من میاید و مرا مورد تمسخر قرار میدهد.,تا که که در تو را <end> 
تو ار باز پذیرم این از او / ورنه خود خندید بر من دیگر ر,با خود گفتم که اگر من لایق و سزاوار وصال و محبوب و یار حقیقی ام باشم. همه مشکلات و رنجهای رسیدن به استان او را به جان میخرم و اگر شایسته و لایق نباشم و از کدورت او دور باشم. ان یار به روی سخن من میخندد و مرا مورد تمسخر قرار میدهد.,تا که که در تو را <end> 
چاره من باشد که خود را ببینم / ز او خندد مرا من کی خرم,تنها در این است که من به حال خود نظاره کنم,تا که که در تو را <end> 
چاره این باشد که خود را بنگ / ورنه او خندد مرا من کی بینم,و در این است که من به حال خود نظاره کنم,تا که که در تو را <end> 
او پیر است و محب للجمال / کی جوان بهره گزیند از زال,ان یار حقیقی زیباست و دوستدار زیبایی است. به عنوان مثال ایا تا به حال توانسته که یک دختر جوان فرتوت و در هم شکسته را به عنوان همسر انتخاب کند مسلما خیر.,تا که که در تو را <end> 
او جمیل است و محب للجمال / کی پاک شود گزیند نام زال,ان یار مهربان است و عاشق انسانیت است. به عنوان مثال او تا به حال توانسته که یک نوجوان ، جوان و در هم شکسته را به عنوان همسر انتخاب کند مسلما خیر.,تا که که در تو را <end> 
خوب خوبی را کند از این راه / از للطیبن بر وی بخوان,این اصل بدیهی را باید بدانی که هر پدیدە خوب پدیدە خوب دیگری را به سوی خود جذب میکند و از هر پدیدە بد نیز همجنس خود را به سوی خود میکشد. اگر کسی در این خصو هم از من راهنمایی بخواهد به تو میگویم که ایه خلقت نور را برای او تعریف کن تا کاملا قانع شود.,تا که که در تو را <end> 
خوب خوبی را کند که این بدان / بزرگان را بر وی بخوان,این اصل بدیهی را باید بپذیریم که هر پدیدە خوب فرد خوب دیگری را به سوی خود جذب میکند و طبعا هر فرد بد نیز همجنس خود را به سوی خود میکشاند. اگر کسی در این خصو هم از من دلیل خواست به تو میگویم که ایه سوره نور را برای او بازگو کن تا کاملا اگاه شود.,تا که که در تو را <end> 
در جهان هر چیز چیزی جذب کرد / هوای نفس را کشید و سرد سرد,اگر به کل جهان هستی نیک بنگر. خواهی دید که هر پدیدهای پدیده خاص و خاص خود را خلق میکند. یعنی مثلا گرمی گرمی را به سوی خود میکشد و سردی سردی را.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
در جهان هر چیز چیزی جذب کرد / گرم گرمی را سرد و شد سرد,اگر به جای دیگر هستی هم بنگری. خواهی دید که هر گیتی پدیده خاص و سازوار خود را جذب میکند. چنانکه ، گرمی گرمی را به سوی خود میکشاند و سردی سردی را.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
قسم باطل باطلان را میکشند / حقیقت از جمله هم سر گیرند,اهل باطل حق را به سوی خود جذب میکنند و نیز اهل حق از وجود حق خود و طالبان حق که ماندگارند سرحال و خرسند میشوند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
قسم عقل باطلان را میکشند / ولیکن از باقیان هم چه خوشند,اهل باطل باطلان را به سوی خود جذب میکنند و مانند اهل حق از وجود حق میگذرند و طالبان حق که هستند شاد و شاد میشوند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
نورها مر ناریان را جاذب اند / نوریان مر نوریان را نشانه اند,اهل فریب و دوزخیان انها را به خود جذب میکنند. و اهل فریب و هدایت نیز ، اهل یکدیگرند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
نور مر نار را جاذب اند / نوریان مر خلق را طالب اند,امواج نور و اب دوزخیان را به خود جذب میکنند. همینطور اهل نور و ظلمت نیز طالب دریای نوراند.,تا که که در تو را <end> 
چشم چون مهر تو را تاسه گرفت / نور چشم از روی روزن کی شد,برای مثال هرگاه چشمت را میبینم دچار فراموشی میشوی و به زودی دلت میشکند زیرا دیگر چشم طاقت عبور از این روز جهان افروز را ندارد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چشم چون بستی تو را تاسه گرفت / نور چشم از نور چشم ما شکفت,برای مثال هرگاه چشمت را ببینی دچار اندوه میشوی و به اصطلاح دلت میشکند زیرا یک چشم توان جدایی از این روز جهان افروز را ندارد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هر باز ار تاسه گیرد مر تو را / دان که تو روشن ببستی برگشا,هرگاه با وجود گشوده بودت چشمانت باز هم خواهد گرفت و به پریشانی دچار امدی. بدان که تو دلت را خواهد گرفت. پس سر ان را بگشا تا از این اندوه و پریشانی برهی.,تا که که در تو را <end> 
چشم باز ار نظر گیرد مر تو را / دان که چشم دل بیند مگر,هرگاه با وجود گشوده بودت چشمانت باز هم رنگ گرفت و به اضطراب دچار امدی. بدان که چشم دلت را کور کردی. پس فورا ان را بگشا تا از این اضطراب و پریشانی بره.,تا که که در تو را <end> 
آن تقاضای دو چشم دل شناس / تا همی جوید در بی نشانی,ان خواست و اندوهی که در تو احساس میکنی. خواست و امیدی در دل توست که بی تردید منتظر احقاق حق است که حد و حصری ندارد.,تا که که در تو را <end> 
آن یک دو گیتی دل بود / کو همی جوید ضیای بی قیاس,ان ارامش و ارامشی که در دلت ایجاد میشود. عزم و اراده بزرگ دل توست که بی واسطه خواهان نور حق است که حد و حصری ندارد.,تا که که در تو را <end> 
چون در آن دو دل بی ثبات / تاسه آوردت گشادی باز,وقتی ترکیب دو نور پایدار و ناپایدار یعنی نور چشم و ابی که از خانه و میز به درون خانه میاید سبب انبساط و گرفتگی میشود و فورا او را به سوی نور میبرد.,تا که که در تو را <end> 
چون دید آن دو نور بی ثبات / باشد از گشادی چشمهات,وقتی جدایی دو نور ناپایدار و ناپایدار یعنی نور چشم و نوری که از پنجره و بیرون به درون خانه میتابد سبب اندوه و اندوه میشود و ان فرد را به سوی خانه میگشایی.,تا که که در تو را <end> 
او چو دیدم مرا من بنگرم / لایق این خوب و یا بد پیکرم,در اینجا حضرت رضا رشته عرفان را باز میگرداند به بیت و تا وقتی که ان بیت محبوب مرا به سوی خود فرا میخواند. به احوالم نیک مینگرم که من صاحب این نعمت هستم یا اینکه بد پیکر,تا که که در تو را <end> 
او چو میخواند جمله من دانند / لایق جذب نیک و یا بد پیکرم,در اینجا حضرت پیامبر رشته سخن را باز میگرداند به بیت و میفرماید وقتی که ان جوان جوان مرا به سوی خود فرا میخواند. به بیت نیک میگویم که ایا لایق این امر هستم یا اینکه بد پیکر,تا که که در تو را <end> 
گر کسی کسی را در پی کند / بهتر باشد که او بر وی کند,برای مثال او دلبری میکند نسبت به شخصی زشت روی اظهار ندامت کند و به خوبی راه برود. کاری که حتما او را عقب نشانده و منحرف کرده است.,تا که که در تو را <end> 
به لطیفی دل را در پی کند / چنین باشد که او بر وی کند,برای مثال هرگاه دلبری است نسبت به شخصی زشت روی اظهار خشم کند و به تندی راه بیفتد. گویی که او او را دور انداخته و مسخره کرده است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
کی ببینی روی خود را ای عجب / تا چه رنگم چون روزم یا چو شب,شگفتا پس چه طور میتوانم روی حقیقی خود را مشاهده کنم تا بدانم که چه رنگی دارد. یا رنگی سبز همچو سبز روشن دارم یا رنگی سیاه همانند شب تار,تا که که در تو را <end> 
کی ببینم روی خود را ای یار / تا چه بینم چو روزم یا چو شب,شگفتا پس چه زمانی میتوانم روی پوست خود را مشاهده کنم تا بدانم که چه رنگی دارد. یا رنگی سفید همچو روز روشن دارم یا رنگی روشن همانند شب تار,تا که که در تو را <end> 
گر در خویش میجستم بسی / هیچ نیست نقشم از کسی,من هم در باره مفهوم مغز و روح بحث کردم. ولی کسی را نیافت که خود را در اینە روح او پیدا کنم.,تا که که در تو را <end> 
چو راز خویش میجستم بسی / هیچ میننمود غیر از کسی,من ابتدا در باره نقش روح و جان تحقیق کردم. ولی کسی را نیافت که خود را در اینە روح او پیدا کنم.,تا که که در تو را <end> 
گفتم آخر آینه از بهر کیست / تا بداند هر کسی کو داند و چیست,با خود گفتم اینه یعنی انسان کامل و انسان عالی برای اینه مسلما اینه برای این است که هر کس بداند هدف و هدفش چیست. و اصلا چه کسی است.,تا که که در تو را <end> 
گفتم هیچ کس از بهر کیست / تا بداند هر کسی کو چیست و کیست,با خود گفتم اینه یعنی انسان کامل و انسان عالی برای اینه مسلما اینه برای این است که هر کس بداند ابرو و اعتبارش چیست. و اصلا چه کسی است.,تا که که در تو را <end> 
گفتم ای دل خسته کلی بجو / رو به هر کار برناید به ج,در اینجا حضرت امام خطاب به پیر پیر خود چنین فرمودند ای دل ایینهای کلی نگاه کن و بازگرد به سوی راهی که از من کاری ساخته نیست.,تا که که در تو را <end> 
زین بوستان که به کوی تو رسید / درد مریم را به خرمابن رساند,با زحمت فراوان است که بنده به کوی و استان تو امدهام. شاید مثلا در زایمان او را به سوی درخت خرما برد و کشت.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
زین طلب اگر به کام تو رسید / درد مریم را به خرمابن کرد,با درد زایمان است که مریم به خانه و استان تو نرود. او مثلا درد زایمان مریم را به سوی درخت خرما اورد و برد.,تا که که در تو را <end> 
ذات کلی تو را دیدم ابد / دیدم درون چشم تو من نقش خود,ای دوست عزیز من تو را ایین کلی ابدی و ابدی دیدم,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
کنون کلی تو را دیدم خود / دیدم اندر چشم تو من نقش خود,ای یار خدا من تو را ایین کلی ازلی و ازلی دیدم,تا که که در تو را <end> 
و آخر خویش را من یافتم / در دو چشمش راه حق یافتم,من با خود گفتم که حرف خود را میگویم و در دو چشم یارم راهی روشن پیدا کردم که مرا به این مقصود رساند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
گفتم آخر خویش را من یافتم / در دو چشمش راه روشن یافتم,من با خود گفتم بالاخره من جهان را میبینم و در دو چشم یارم چراغی روشن پیدا کردم که مرا به این مقصود میرساند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
نقش من از چشم تو آواز داد / که خیال تو تو پروانه در خواب,در همان وقت که قوە خداوند بر من تاخته و دچار ترس و وحشت ام کرده بود. ذات حقیقی ذاتم به من چنین پیامی داد. بدان که در مقام پروردگار من عین تو هستم و تو عین منی. مبادا که به اتش خشم و دشمنی گرفتار شوم.,تا که که در تو را <end> 
بر من از چشم تو آواز داد / که تا تو تو اینجا در اتحاد,در همان وقت که این واهمهام بر من تاخته و دچار تشویش و تشویش ام کرده بود. صورت حقیقی ان به من چنین پیامی داد. بدان که در مقام وحدت من عین تو هستم و تو عین منی. بدان که به ورطه تفرقه و جدایی گرفتار شوم.,تا که که در تو را <end> 
کاندرین چشم منیر بی حضور / از حقایق راه کی یابد ظهور,زیرا که در این چشم روشن و است که در ان هرگز از مرز تجاوز نمیکند. بلکه همواره حقیقت بین است. تا کی میتواند بدان راه یابد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
نور چشم مردم بی زوال / از حقایق راه کی یابد خیال,زیرا که در این چشم زیبا و روشنگر که در ان است از درون زوال نمیگیرد. بلکه همواره حقیقت بین است. تا کی میتواند بدان راه یابد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
در دو عالم غیر من تو نقش خود / گر بدانی آن خیالی دان و دانی,ان مرد مهربان به من گفت هر گاه تو نقش و نگار هستی خود را در دو چشم دیگری ببینی. گویی که ان کسی بیش نیست و از نظر من واقعی است,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
در دو چشم غیر من تو نقش خود / تا بینی آن حقیقت دان و رد,ان مرد مهربان به من گفت هر گاه تو بزرگی و قدر وجود خود را در دو چشم دیگری ببینی. دیدم که ان کسی بیش نیست و از نظر من حقیقی است,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
عالمی در نیستی در میکشد / باده از تصویر شیطان میچشد,زیرا کسی که سرمه نیستی به کام خود میکشد,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
خیال همه خیال است و عدم / نیستها را هست بیند لاجرم,پاسخ انان سرای نیست و پاسخ یاوه است. در اینجا نیستها را به صورت خیالی نگاه میکنند,تا که که در تو را <end> 
چشمشان همه خیال است و عدم / نیستها را خود بیند لاجرم,چشم در سرای نیستی و بی مردم است. در واقع نیستها را به نفع هستها تفسیر میکنند,تا که که در تو را <end> 
تا یکی مو باشد از تو پیش چشم / در حقیقت یکی باشد دیده یشم,تا وقتی که از ماس نباشد یعنی از غیر الله در پیش نباشد و حتی به اندازه یک قلم مو باشد. گوهر گرانبها را مانند یک چراغ بی پایان میدانند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
تا یکی مو باشد از تو پیش چشم / در خیالت که باشد اندر نار,تا وقتی که از ماسوی دراید یعنی از غیر رنگی در پیش باشد دلت حتی به اندازه یک قلم مو باشد. انها الله را مانند یک رنگ بی رنگ میسازند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
یشم را یقین شناسی از نور / کز خیال خود دیدی کلی عبر,تو وقتی کسی را از خویش باز داری که از ذات خود به کلی کذشته باشی,تا که که در تو را <end> 
یشم را تو شناسی از میان / کز خیال خود بدانی کلی عبر,تو وقتی چشم را از زمین باز میکنی که از پیش خود به کلی کذشته باشی,تا که که در تو را <end> 
یک زمان بشنو ای عطار نهان / تا بدانی تو عیان را از قیاس,ای که گوهرشناسی یعنی تو حقیقت را میشناسی. اینک این یک حکایت را انجام بده تا واقعیات را بهطور عملی و علمی بفهمی. نه با قیاس و استدلالات نظری و ذهنی.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
یک حکایت تو ای گوهر نهان / تا نبودی تو عیان را از قیاس,ای که گوهرشناسی یعنی گوهر حقیقت را بخوان. تو این یک نامه را گوش بده تا واقعیات را بهطور عینی و شهودی ببینی. نه با قیاس و قیاس عقلی و عقلی.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چون گذشت آن مجلس و خوان حرم / بر او داد و برد اندر حرم,وقتی که دیدار شاه با طبیب اعظم در ان جا پایان یافت و حول کرامت جمع شد ، دست طبیب را گرفت و وارد برنامه زندگی خود کرد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چون برد از مجلس و خوان کرم / دست او بگرفت و رفت اندر حرم,وقتی که دیدار شاه با ضیافت الهی در ان مجلس پایان یافت و سفره شام اماده شد شاه دست طبیب را گرفت و وارد حیاط کاخ خود کرد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
قصه درد و بیگانه بخواند / بعد از آن در پیش رنجورش بخواند,شاه زمان بیماری و رنجوری او را برای پسر او شرح داد و سپس او را بر بالین بیمار اورد.,تا که که در تو را <end> 
قصه رنجور و فریاد بخواند / بعد از آن در پیش او نشاند,او خبر بیماری و رنجوری کنیزک را برای طبیب خویش شرح داد و سپس او را بر بالین خویش خواند.,تا که که در تو را <end> 
دست و رو و نبض و قاروره بدید / هم عاشقان هم اسبابش شنید,ان طبیب الهی طبق معمول اطبا رنگ و رو و صدا و نبض او را میشنید و نیز علايم و اسباب بیماری او را از زبان وی و همراهش شنید.,تا که که در تو را <end> 
علم و رو و نبض و قاروره بدید / هم علاماتش هم معنی شنید,ان طبیب الهی طبق وصیتش اطبا پشت و رو و پوست و موی بیمار را دید و نیز علايم و اسباب بیماری او را از زبان وی و اطرافیانش شنید.,تا که که در تو را <end> 
گفت هر دارو که ایشان کردهاند / این عمارت نیست چه کردهاند,طبیب معالج گفت هر دارو و درمان که ان حکیمان مغرور مینمودند نه تنها حال ان بیمار را بهبود بخشیده بلکه حالش را بهتر هم کزردهاند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
گفت هر سری که ایشان کردهاند / این عمارت نیست ویران کردهاند,» او گفت هر طبیب و دارویی که ان حکیمان تجویز کردهاند نه تنها حال ان کنیزک را بهبود بخشیده بلکه انها را از هم کزردهاند.,تا که که در تو را <end> 
بی خبر بودند از حال درون / اهل مما الله,ان گاه که از انچه درون کنیزک خبر دارند پناه میبرم به گذشته از اکاذیبی که اوردهاند میبافند,تا که که در تو را <end> 
بی خبر بودند از حال درون / استعیذالله الله کثیر,ان دو مغرور از راز درون کنیزک خبر نداشتند ، میبرم به اگاهی از اکاذیبی که برهم میبافند,تا که که در تو را <end> 
دید اندوه و اندوه شد بر وی نهفت / لیک پنهان کرد و با کس نگفت,حسن رازی رنج بیماری را شنید و به علت ان پی برد ولی ان راز را پنهان داشت و به کسی چیزی نگفت.,تا که که در تو را <end> 
در رنج و خواری شد بر وی نهفت / لیک دل کرد و با سلطان نگفت,حکیم الهی این بیماری را دید و به علت ان پی برد ولی ان راز را پنهان داشت و به کسی چیزی نگفت.,تا که که در تو را <end> 
دل از سودا و از صفرا نبود / بوی هر هیزم در آید ز شکر,اندوه و غم کنیزک ناشی از غلبه بلغم و سودا نبود زیرا بوی هر هیزم از بدن خارج میشود یعنی علايم و اثار هر چیز بر ذات ان چیز دلالت میکند. اگر چه وقتی شخص به عشق دچار میاید رنگ و رویش دگر میشود ولی این حالات را نباید با بیماری جسمانی اشتباه گرفت.,تا که که در تو را <end> 
رنجش از سودا و از صفرا نبود / به هر هیزم پدید نیامد ز مشام,رنج و درد عشق ناشی از مایع صفرا و سودا نبود زیرا اثار هر هیزم از خون معلوم میشود یعنی علايم و اثار هر چیز بر ذات ان چیز دلالت میکند. اگر چه وقتی کسی به عشق دچار میاید رنگ و رویش دگر میشود ولی این حالات را نباید با حالات عشق اشتباه گرفت.,تا که که در تو را <end> 
غیر از زاری کو بیمار دل است / تن خوش است و او گرفتار دل است,اما الهی از رنجوری خود پی برد که بیماری او علت جسمانی ندارد او نیز بیمار است و دارای بیماری دل است.,تا که که در تو را <end> 
پس از زاریش کو زار دل است / تن خوش است و او گرفتار دل است,اما او از انجا که پی برد که بیماری او علت مشخصی ندارد او تنش روحی است و علتش بیماری دل است.,تا که که در تو را <end> 
عاشقی دارد از زاری دل / نیست کاری چو بیماری دل,از ته دل عشق مهم است و هیچ چیز به اندازه بیماری دل اهمیت ندارد.,تا که که در تو را <end> 
بیماری پیداست از زاری دل / نیست بیماری جز بیماری دل,از درون دل عشق مهم است و هیچ چیز به اندازه بیماری دل اهمیت ندارد.,تا که که در تو را <end> 
علت عاشق از علتها جداست / عشق اسطرلاب نفس خداست,بیماری وی از نوع بیماری جسمانی نیست بلکه به مانند اسطرلاب است و تبریزی را نشان میدهد.,تا که که در تو را <end> 
علت او ز علتها جداست / عشق جویای اسرار خداست,این عشق از نوع بیماری جسمانی نیست بلکه درست مانند همیشه اسرار شمس تبریزی را نشان میدهد.,تا که که در تو را <end> 
حقیقت زین است و گر زان سر است / عاقبت ما را بدان سر خوش است,عشق خواه مادی و یا معنوی باشد سرانجام ما خود را به سوی رحمت الهی هدایت میکنیم.,تا که که در تو را <end> 
بگذر زین سر و گر زان رهبر است / عاقبت ما را بدان کار رهبر است,حتی اگر دینی و یا متافیزیکی باشد سرانجام ما انسانها را به سوی هدایت الهی هدایت میکند.,تا که که در تو را <end> 
چون گویم عشق را شرح و بیان / چون به عشق دارم چو باشم از آن,هر چه از عشق میخواهم میگویم و انرا بیان دارم چون به هدف خود برسد عاشق میشوم.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
گر گویم عشق را بیان و بیان / چون به عشق آیم ولی باشم از آن,هر چه از عشق سخن میگویم و حق بیان دارم چون به زبان عشق میاندیشم شرمگین میشوم.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
گر چه تفسیر زبان او است / لیک چشم بی او روشنتر است,اگر چه تفسیر و دستور زبان روشن کننده شعر است ولی اگر عشقی نیست که به شعر دراید پس عشقی که به زبان درنیاید از هر چیزی مناسبتر است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
هر چه تفسیر او روشنتر است / از عشق بی زبان روشنتر است,اگر چه تفسیر و بیان مطالب روشن کننده مسايل است ولی زبانی ممکن نیست که به زبان دراید پس بیانی که به زبان درنیاید از هر بیانی بهتر است.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
چون قلم خواندن سخن نبود / چون به عشق آمد قلم بر خود شکافت,داستان بلند و نویسندگی همه چیز را دربر میگیرد ولی وقتی به موضوع عشق میرسد و میخواهد انرا به رشته تحریر دراورد بیدرنگ بر خود میافزاید.,تا که که در تو را <end> 
چون قلم از نوشتن میشتافت / چون به عشق آمد سخن بر خود گفت,قلم تحریر و شعر همه چیز را شتابان مینویسد ولی همینکه به موضوع جدیدی میرسد و میخواهد انرا به رشته تحریر دراورد بیدرنگ بر خود میراند.,تا که که در تو را <end> 
عقل در شرحش چو خر در من بخفت / وصف عشق و عاشقی هم همی گفت,عقل و منطق در بیان و بیان این همچو عشق است که در گل رشد کند زیرا عشق است که باید پرده از اسرار عشق و عاشقی بردارد و اسرار انرا اشکار کند.,تا که که در تو را <end> 
عقل در شرحش چو دید در گل بخفت / شرح درد و حدیث هم عشق گفت,عقل و منطق در شرح و بیان عشق همچو ان است که در گل گیر کند زیرا عشق است که میتواند پرده از اسرار عشق و عاشقی بردارد و رموز انرا اشکار کند.,تا که که در تو را <end> 
روشن آمد روشن آفتاب / هرچه دلیلت باید از وی رو متاب,دلیل بر وجود ان خود افتاب است حال اگر دلیلی بر وجود ان لازم باشد خود افتاب دلیل دیگری است پس از افتاب روی مگر.,تا که که در تو را <end> 
آفتاب ما دلیل ظهور / گر خدا باید از وی رو متاب,دلیل بر وجود ان خود افتاب است حال اگر دلیلی بر وجود ان لازم باشد خود افتاب دلیل دیگری است پس از افتاب روی مگر.,تا که که در تو را <end> 
از وی نور سایه نشانی میدهد / شمس هر دم نور جانی میدهد,اگر چه خدا بر وجود افتاب دلالت دارد اما خود افتاب هر روز پیام حیات بخش خود را به همه جا منتقل میکند.,تا که که در تو را <end> 
از وی ار سایه نشانی میدهد / از هر دم نور الله میدهد,اگر چه سایه بر وجود افتاب دلالت دارد اما خود افتاب هر گونه تابش حیات بخش خود را به همه جا پخش میکند.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
سایه در بیند تو را همچون سمر / چون بر آید عشق انشق راه,همانطور که حکایت ، تو را به خواب میبرد سایه عقل و استدلال تو را دچار تردید و بی اعتنایی کند و چون شمس حقیقت بتابد قمر عقل و استدلال زايل شود و نور و جلوه خود را از دست بدهد.,تا که که در تو را <end> 
سایه خواب روی تو را همچون سمر / چون بر آید عشق در نهان,تاریکی که حکایت شبانه تو را به خواب میبرد سایه عقل و استدلال تو را دچار اشوب و بی خبری میسازد و چون شمس حقیقت بتابد قمر عقل و استدلال ناپدید شود و ارامش و جذابیت خود را از دست بدهد.,تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا که که در تو <sep> تا 
خود جان در او چون شمس نیست / شمس جان جان است او را امس نیست,در اینجا چیزی عجیبتر و شگفت انگیزتر از این وجود ندارد و جان باخته است و امروز و فردا برایش نمیتوان تصور کرد.,تا که که در تو را <end> 
خود غریبی در جهان چون شمس نیست / گرچه عالم باقی است او را بها نیست,در طبیعت چیزی بزرگتر و شگفت انگیزتر از خورشید وجود ندارد خورشید جان بخش است و امروز و فردا برایش نمیتوان تصور کرد.,تا که که در تو را <end> 
نیست در نظر اگرچه هست فرد / میتوان هم مثل او را تصویر کرد,اگر چه جلوههای معنوی و طبیعی در عالم طبیعت تنها و بی نظیر است ولی در عین حال میتوان مانند شمس در ذهن تداعی کرد.,تا که که در تو را <end> 
